id,family_id,family_name,variant,game,patch,league,death_mode,economy_mode,creator,url,updated_at,accessed_at,retrieval_status,popularity_type,popularity_value,popularity_rank,popularity_scope,popularity_source_id,approval_status
w1_shrine,shrine-mace,Shrine-stacking Maces,Leveling,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,PaintMasterPoE,https://mobalytics.gg/poe-2/profile/paintmaster/builds/melee-chronomancer,2026-09-02,2026-09-21,deep_stage_extracted,guide_favorites,75,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_11,collected_not_game_validated
w1_afk,frostbolt-loop,Frostbolt Recoup Loop,AFK Simulacrum & Mapping,POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Lazy Exile,https://mobalytics.gg/poe-2/builds/afk-simulacrum-immortal-ritualist-lazyexile,2026-09-19,2026-09-21,deep_stage_extracted,guide_favorites,184,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_12,collected_not_game_validated
w1_lich,twisted-mana,Twisted Empyrean Mana Maces,Default,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,PaintMasterPoE,https://mobalytics.gg/poe-2/builds/twisted-empyrean-lich,2026-09-17,2026-09-21,detail_extracted,guide_favorites,37,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_13,collected_not_game_validated
w1_titan,twisted-mana,Twisted Empyrean Mana Maces,Endgame,POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Peuget2,https://mobalytics.gg/poe-2/builds/twisted-empyrean-mana-stacking-titan,2026-08-27,2026-09-21,detail_extracted,guide_favorites,15,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_14,collected_not_game_validated
w1_twister,twister,Twister,Final Variant - Giga Investment,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,FGKorbyn21,https://mobalytics.gg/poe-2/profile/fgkorbyn21/builds/0-5-full-screen-twister-martial-artist-endgame-build-guide,2026-09-15,2026-09-21,deep_stage_extracted,guide_favorites,213,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_15,collected_not_game_validated
w1_ballista,cluster-ballista,Cluster Grenade Ballista,A1,POE2,0.5.5,Forbidden Rites,unknown,unknown,Lazy Exile,https://mobalytics.gg/poe-2/builds/1-button-ballista-totem-cluster-grenade-lazy-exile,2026-09-15,2026-09-21,detail_extracted,unknown,,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_16,collected_not_game_validated
w2-ice,ice-shot,Ice Shot,Fubgun campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,Fubgun,https://mobalytics.gg/poe-2/profile/fubgun/builds/0-5-ice-shot-deadeye-leveling-guide,2026-09-12,2026-09-21,deep_stage_extracted,guide_favorites,6900,,Rounded K display converted to approximate count; not player usage,w2-s01,collected_not_game_validated
w2-arc,arc-fusillade,Arc and Ember Fusillade,Spud the King campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,Spud the King,https://mobalytics.gg/poe-2/profile/spud-the-king-nksem3/builds/sorceress-leveling-0-5-league-starter,2026-05-29,2026-09-21,deep_stage_extracted,guide_favorites,115,,Guide-page favorites; not player usage,w2-s02,collected_not_game_validated
w2-grenade,grenades,Grenades,GuyThatDies campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,GuyThatDies,https://mobalytics.gg/poe-2/profile/guythatdies/builds/0-4-mercenary-grenades-leaguestarter,2026-09-06,2026-09-21,deep_stage_extracted,guide_favorites,831,,Guide-page favorites; not player usage,w2-s03,collected_not_game_validated
w2-glacial,glacial-cascade,Glacial Cascade,GuyThatDies campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,GuyThatDies,https://mobalytics.gg/poe-2/builds/hollow-palm-levelling,2026-09-11,2026-09-21,deep_stage_extracted,guide_favorites,608,,Guide-page favorites; not player usage,w2-s04,collected_not_game_validated
w2-varashta,djinn,Varashta minions,GuyThatDies campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,GuyThatDies,https://mobalytics.gg/poe-2/builds/varashta-levelling,2026-09-08,2026-09-21,deep_stage_extracted,guide_favorites,440,,Guide-page favorites; not player usage,w2-s05,collected_not_game_validated
w2-minions,witch-minion-army,Witch minion army,GuyThatDies campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,GuyThatDies,https://mobalytics.gg/poe-2/builds/witch-minions-leveling,2026-09-06,2026-09-21,deep_stage_extracted,guide_favorites,358,,Guide-page favorites; not player usage,w2-s06,collected_not_game_validated
w2-edc,ed-contagion,Essence Drain Contagion,GuyThatDies campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,GuyThatDies,https://mobalytics.gg/poe-2/builds/bone-storm-leaguestarter,2026-09-06,2026-09-21,deep_stage_extracted,guide_favorites,212,,Guide-page favorites; not player usage,w2-s07,collected_not_game_validated
w2-slam,slam-boneshatter,Slam Boneshatter leveling,Woolie campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,Trade and SSF routes,Woolie,https://mobalytics.gg/poe-2/builds/warrior-leveling-woolie,2026-08-30,2026-09-21,deep_stage_extracted,guide_favorites,3000,,Rounded K display converted to approximate count; not player usage,w2-s08,collected_not_game_validated
w2-spark-big,spark,Spark,BigDaddy Gaming campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,SSF tagged,BigDaddy Gaming,https://mobalytics.gg/poe-2/builds/lightning-caster-leveling,2026-09-07,2026-09-21,detail_extracted,guide_favorites,962,,Guide-page favorites; not player usage,w2-s09,collected_not_game_validated
w2-twister-ap,twister,Twister,animeprincess campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,animeprincess,https://mobalytics.gg/poe-2/profile/animeprincess/builds/0-5-5-twister-gemling-comprehensive-leveling-guide,2026-09-16,2026-09-21,detail_extracted,guide_favorites,304,,Guide-page favorites; not player usage,w2-s10,collected_not_game_validated
w2-twister-far,twister,Twister,xthefarmerx campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,Trade,xthefarmerx,https://mobalytics.gg/poe-2/builds/xthefarmerx-s-gemling-twister-league-starter,2026-09-08,2026-09-21,deep_stage_extracted,guide_favorites,37,,Guide-page favorites; not player usage,w2-s11,collected_not_game_validated
w2-plants,plants,Plants / Cast on Critical,Scorpius campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,Scorpius,https://mobalytics.gg/poe-2/builds/plant-oracle-druid?_lang=en_us,2026-09-14,2026-09-21,deep_stage_extracted,guide_favorites,502,,Guide-page favorites; not player usage,w2-s12,collected_not_game_validated
w2-snipe,snipe,Instant Snipe,SiahZ campaign/starter guide,POE2,0.5.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,SiahZ,https://mobalytics.gg/poe-2/profile/siahz/builds/siahz-s-instant-snipe-gemling-league-starter,2026-09-10,2026-09-21,detail_extracted,guide_favorites,76,,Guide-page favorites; not player usage,w2-s13,collected_not_game_validated
w2-shield,shield-wall,Shield Wall,lundburgerr campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,lundburgerr,https://mobalytics.gg/poe-2/builds/warrior-league-start-lundburgerr,2026-09-14,2026-09-21,deep_stage_extracted,guide_favorites,862,,Guide-page favorites; not player usage,w2-s14,collected_not_game_validated
w2-spark-ap,spark,Spark,animeprincess campaign/starter guide,POE2,0.5.0,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,animeprincess,https://mobalytics.gg/poe-2/builds/animeprincess-stormweaver-sorc-league-starter,2026-09-11,2026-09-21,detail_extracted,guide_favorites,7500,,Rounded K display converted to approximate count; not player usage,w2-s15,collected_not_game_validated
w2-wyvern-gtd,oil-barrage-wyvern,Oil Barrage Wyvern,GuyThatDies campaign/starter guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,GuyThatDies,https://mobalytics.gg/poe-2/builds/wyvern-druid-leveling,2026-06-04,2026-09-21,deep_stage_extracted,guide_favorites,218,,Guide-page favorites; not player usage,w2-s16,collected_not_game_validated
w2-wyvern-peu,oil-barrage-wyvern,Oil Barrage Wyvern,Peuget2 Spirit Walker guide,POE2,0.5,Forbidden Rites (page tag; historical body may describe 0.5),unknown,unknown,Peuget2,https://mobalytics.gg/poe-2/builds/0-4-hellfire-wyvern-league-starter,2026-05-26,2026-09-21,deep_stage_extracted,guide_favorites,229,,Guide-page favorites; not player usage,w2-s17,collected_not_game_validated
priority-taengjeong-kitava,shield-wall,Shield Wall,Existing priority case; dated Kitava leveling/low-budget/2.0 revisions,POE2,0.5.5,Forbidden Rites context; older0.5 records separately dated,unknown,trade_context_inferred,탱정-탱커의정석,https://www.youtube.com/watch?v=kS80oF3VbJI,,2026-09-21,existing_priority_reviewed,video_views,15535,,This video only; not build usage; observed12:31:19Z,priority_2_video,collected_not_game_validated
