방패벽 키타바 할당 및 과대망상 주얼을 위한 액체 감정 875개 티어 정리,,,,,,,
,,,,,,,
,,,,,,,
SS티어,S티어,A티어,B티어(나름 쓸만한 것들),C티어(조금씩은 쓸만한),D티어(있어도 딱히…),E티어(무옵),F티어(채용시 역효과)
,야생 폭풍,불길보행자,올빼미의 유대,충격적인 공격,선제적 타격,종말의 예언,넓은 방벽
,초자연적인 회복력,증대자,고대의 독사,팽팽한 육체,발포,늑대의 울부짖음,
,화산의 피부,용서하지 않는,심장 조직,귀를 찢는 함성,작렬,무형,
,,타르스의 키렐의 빛,흐릿한 운동,재활,절제된 훈련,짐승의 가죽,
,,요지부동의 투지,내출혈,투석,위력적인 주문,선회 공격,
,,뻗어 나가는 타격,광택나는 철,족쇄 풀린 힘,직접 접근,세차게 흐르는 에너지,
,,견고한 비호,고기 재활용(c와b사이),방향 감각 상실,향상하는 공격,쇄도하는 야수,
,,순수한 혼돈,거대함,저항의 상징,보수적인 시전,관통사격,
,,전투의 열병,베나리우스의 방벽,리듬의 차크라,저속한 수법,용기를 주는 시전,
,,핏빛 내성,사냥감 코날,충격의 차크라,달려드는 기습,피 음미,
,,불타는 타격,번제,심정지,더렵혀진 타격,지속되는 광분,
,,불협화음,개인적인 손길,충격 가하기,분쇄장법,관통하는 발톱,
,,이자로의 기사,필사적인 시간,묵직한 접촉,정정한 심장,훈련된 포탑,
,,결정체의 저항,한복판,빼앗기,혼미의 막기,여진,
,,다급한 부름,유리한 확률,야만적인 힘,벼락 직격,일탈,
,,맹독 내성,전술적 후퇴,비전 잔류물,아찔한 명중,일촉즉발의 유탄,
,,자연의 힘,적검단의 절제,파편,권능에 대한 갈증,정확한 지점,
,,마석 애호가,아찔한 휩쓸기,단호한 내뻗기,인내에 대한 갈증,불안정한 결속,
,,박식,통찰의 차크라,지혈,완전 회복,곰의 혼백,
,,야생 폭풍,눈 속의 모래,재빠른 막기,정밀 포화,말 없는 유대,
,,결정화된 면역,무명예,원시 작렬,수리불가,정확한 일촉즉발,
,,폭풍의 질책,격파의 일격,효율적인 연금술,구제,고대의 비호,
,,,초대형 무기,헐거운 육체,연장,질풍의 칼날,
,,,관통된 폐,고귀한 늑대,수호자의 첫 번째 가르침,냉기의 외투,
,,,마라톤 주자,굽은 무기,텅 빈 자의 첫 번째 원칙,기대,
,,,안정의 차크라,겨울 올빼미,너덜너덜,위험 유예,
,,,파손,정신 삭제,솔선수범,걸리적거리는 장애물,
,,,아드레날린 분출,무적의 방벽,압도적인 타격,가시 박힌 방어구,
,,,솟구치는 피,울림,섬광,투창,
,,,피의 갈증,녹이는 화염,목표 고정,반발,
,,,사카왈의 발톱,자유의 대가,쪼그려 앉기,깊은 상처,
,,,사카왈의 가죽,강령술 수호,비전 만개,후려치는 야수,
,,,투사체 방벽,울부짖는 야수,원시,활기를 주는 증오,
,,,묵직한 방어구,흉포한 격노,쉬운 표적,특수 대포,
,,,굽히지 않음,야생 고양이,옥죄기,고정하고 빠지기,
,,,충격 힘,통찰력,강화하는 잔류물,단호한 앙갚음,
,,,신속한 타격,헌터,잡목림 수호,보복,
,,,폭풍충전,생명력의 물,강화하는 유해,평생의 친구,
,,,근력,방패 전문 지식,정신적 강인함,폐쇠,
,,,광적인 투사,질서의 인도자,대면 공격,그림자의 춤,
,,,집착,소모성,두려운 마비,앉은 오리,
,,,전투의 전율,확산,멀티태스킹,전의 고정,
,,,불의 부적,튼튼한 동료,시간 지배,굳어진 나무,
,,,가죽으로 묶은 건틀릿,광기의 내뻗기,혹한,영광스러운 기대,
,,,기수,보듬는 서리,시간 순행,탈출 전략,
,,,증식하는 잡초(?) 확인 필요,커져 가는 존재,전설적인 수사슴,분쇄 장치,
,,,후려치는 기절,한계점,낭비의 시전,정신 팔린 대상,
,,,광증으로의 추락,주문칼날,시간 조작,광기의 휘두르기,
,,,권위,스쳐 보내기,비전 격렬함,힘의 우물,
,,,이츨로틀의 지옥불,전기요법,시간술,자양분을 주는 동료,
,,,잔혹한 수법,뼛속 광기,재집중,자연으로 돌아가기,
,,,과열의 일격,느린 연소,증식하는 잡초(?),반격 태세,
,,,대지 느끼기,경정맥 노리기,감각 둔화,침식하는 사슬,
,,,허세,양식 왜곡,신중한 암살자,가시 가죽,
,,,현상금 사냥꾼,시선을 빼앗는 존재감,방해받는 능력,정신력 결속,
,,,불난 집 부채질,격노하는 소,환기 실행자,전율,
,,,물려 받은 힘,격노의 명,탈출 속도,집중된 내지르기,
,,,이글거리는 열기,무리 솎기,보존,얼음 분쇄기,
,,,불길을 뿜는 팔,끝장 내라,하나를 위한 모두,분할 사격,
,,,격렬한 화염,수정 영액,치명적인 힘,날렵한 주자,
,,,부패한 염수단의 흉포함,무너지는 방해물,결속된 정밀,자라나는 무리,
,,,폭풍보행자,생의 흐름,근성,독을 바른 무기,
,,,서리보행자,시간의 흐름,자연의 이빨,다중 기법,
,,,불멸의 악명,수완,박두,무한한 성장,
,,,고통 무시,평형,빠른 회복,용기를 주는 인도,
,,,절호의 기회,얼음의 숨결,소진의 고함,강화 반사신경,
,,,무리의 일원,연금술 기름,매의 기술,메아리치는 파동,
,,,노호,불타는 천성,보충,복수,
,,,고요한 바람단의 민첩함,빙하 작용,부싯돌,동결 제한,
,,,타쇄하는 심판,전도성 포옹,화아일체,지옥불 제한,
,,,에너지 자극,작용이 빠른 독소,폭풍 쇄도,선대의 치유,
,,,매의 급강하,전소,숨겨진 가시,장군의 군장,
,,,다용도 병기,효율적인 명문,지속되는 주문,감전 제한,
,,,사카왈의 인도,손 닿는 거리,피눈물,인도받는 손,
,,,기원 효율,인내,방화범,무덤 파는 자,
,,,행운의 토끼 발,광기로의 추락,맹타격,우위 점령,
,,,순응 적인 육체,풍미,지속되는 은혜,상처 핥기,
,,,소이,적응형 피부,심장 분쇄,성흔,
,,,기세,설원을 가로지르는 자,우주 노출,얼음 벽,
,,,방어무력화,번개의 숨결,쇄도하는 전류,영혼 기혈,
,,,설계된 불길,악용,연기 흡입,살육에 대한 갈망,
,,,힘줄 절단의 타격,산산조각의 혼미,방어 태세,든든한 튕겨내기,
,,,조절된 마음,짜릿한 혼미,끈질긴 몰락자,힘의 주입,
,,,무리 격려,지옥불 노출,심장이 멎을 듯한 존재감,달의 축복,
,,,거인 처형자,원소 조종,흠뻑 젖음,끝없는 춤,
,,,접근한 존재감,연날리기,응혈,산산조각의,
,,,무적,번개 폭풍,부정한 지휘관,죽음의 화신,
,,,화염의 숨결,충격 장법,전기 피,운명 찾기,
,,,무도가의 기교(민첩25),폭풍 파괴자,무제약,실추,
,,,타르쿠스의 기사,가뿐한 힘,,고조파 생성기,
,,,기발함,뜻밖의 수완,,무거운 서리,
,,,과노출,유인원의 유대,,천 개의 자상,
,,,박식,불의 보호,,일렁이는 신기루,
,,,원소 악용,봄 산토끼,,치유의 튕겨내기,
,,,전투의 무아지경(소형노드도 중요해서 찍는게 나음),잔류물 끌어당김,,쉬지 못하는 망자,
,,,국수효과(호불호),바타이르의 폭풍,,화살 장인,
,,,기발함,거대 괴수,,집약된 집중 유지,
,,,미가공된 마나,아무렇지 않은 냉기,,전기 처형 노출,
,,,완전 소각,전기 증폭,,활기를 주는 광영,
,,,선조들의 은총,생명의 차크라,,괴사된 육체,
,,,,윤기 나는 액체,,전쟁군주 대표,
,,,,무지막지한 힘,,전쟁군주 광전사,
,,,,밀림의 위상,,시간 역행,
,,,,일직선을 이룬 별,,뼈 사슬,
,,,,갈라지는 대지,,격렬한 투약,
,,,,시체 소각,,갈마드는 전류,
,,,,필생의 걸작,,특수 사격,
,,,,,,두뇌 폭풍,
,,,,,,불멸의 갈증,
,,,,,,목마른 동료,
,,,,,,와이번의 혼백,
,,,,,,두뇌 동결,
,,,,,,얇은 얼음,
,,,,,,파열시키는 고정,
,,,,,,메아리 서리,
,,,,,,공포의 기술자의 혼합물,
,,,,,,천공,
,,,,,,원소의 차크라,
,,,,,,기만의 가면,
,,,,,,숨겨진 손,
,,,,,,선대의 능력,
,,,,,,거리 유지,
,,,,,,원시 격노,
,,,,,,선대의 기민성,
,,,,,,활력의 튕겨내기,
,,,,,,전기 처형 노출,
,,,,,,녹아내린 발톱,
,,,,,,수혈,
,,,,,,번개의 부적,
,,,,,,자유로운 이동,
,,,,,,폭파 전문가,
,,,,,,새총 사격,
,,,,,,얼어붙은 발톱,
,,,,,,단거리 사격,
,,,,,,강화하는 주입,
,,,,,,싸맨 화살통,
,,,,,,빠른 손가락,
,,,,,,내면의 힘,
,,,,,,비껴 튕겨내기,
,,,,,,일렁임,
,,,,,,가지를 뻗는 번갯불,
,,,,,,얼음의 부적,
,,,,,,피하는 튕겨내기,
,,,,,,살아있느 죽음,
,,,,,,요양,
,,,,,,대담해진 화신,
,,,,,,번제의 욕망,
,,,,,,손상,
,,,,,,곰의 가죽,
,,,,,,공포를 자아내는 방패,
,,,,,,폭발 준비 완료,
,,,,,,기운을 북돋는 동료,
,,,,,,드라이어흐트 정화,
,,,,,,메아리 천둥,
,,,,,,영속하는 주입,
,,,,,,인내의 튕겨내기,
,,,,,,자양분을 주눈 수호자,
,,,,,,결정 육체,
,,,,,,싸움의 전율,
,,,,,,가중,
,,,,,,명령 복종,
,,,,,,보주의 비밀,
,,,,,,상서로운 보호자,
,,,,,,날렵한 징표,
,,,,,,불견,
,,,,,,견고한 거점,
,,,,,,괴사의 손길,
,,,,,,심장 가열,
,,,,,,머리 사격,
,,,,,,출혈 과다,
,,,,,,산사조각 난 결정,
,,,,,,전기를 띤 발톱,
,,,,,,신속한 재장전,
,,,,,,녹슨 고정,
,,,,,,균형을 깨는 응수,
,,,,,,흩뿌리고 구경하기,
,,,,,,주입의 힘,
,,,,,,야수의 은혜,
,,,,,,야만성,
,,,,,,뛰고 치기,
,,,,,,영체 수호,
,,,,,,좌뇌실,
,,,,,,수호하는 숭배물,
,,,,,,선대의 단결,
,,,,,,혈액 손실,
,,,,,,빠른 발톱,
,,,,,,와이번의 비늘,
,,,,,,조각된 대지,
,,,,,,힘 전도,
,,,,,,피를 빠는 독소,
,,,,,,늑대의 혼백,
,,,,,,빛나는 왕관,
,,,,,,폭풍의 팽창,
,,,,,,엔트로피의 화신,
,,,,,,경계하는 회피,
,,,,,,선대의 도관,
,,,,,,감시 포탑,
,,,,,,숙련된 튕겨내기,
,,,,,,사술의 대가,
,,,,,,포대타격,
,,,,,,선대의 책략,
,,,,,,폭풍 몰이,
,,,,,,두개골 타쇄자,
,,,,,,주문 가속,
,,,,,,비전의 천성,
,,,,,,영속적인 동결,
,,,,,,격화되는 아수라장,
,,,,,,살을 에는 서리,
,,,,,,고사,
,,,,,,힘의 욕망,
,,,,,,소모성 군단,
,,,,,,전탄발사,
,,,,,,기원의 메아리,
,,,,,,찢어발기는 힘,
,,,,,,통과하는 탄환,
,,,,,,매혹적인 동료 의식,
,,,,,,벗어날 수 없는 냉기,
,,,,,,출혈하는 자상,
,,,,,,섬광 폭풍,
,,,,,,서리의 화신,
,,,,,,번개의 화신,
,,,,,,강에 선 사람,
,,,,,,철제 슬리퍼,
,,,,,,숨통 노리기,
,,,,,,방대한 추종자,
,,,,,,넘치는 힘,
,,,,,,과부하,
,,,,,,활기를 주는 집정관,
,,,,,,활력의 집정관,
,,,,,,망가뜨리는 독소,
,,,,,,정확한 사격,
,,,,,,복수,
,,,,,,결빙,
,,,,,,공허,
,,,,,,질병의 징표,
,,,,,,위치 사수 사격,
,,,,,,심령 파편화,
,,,,,,얼음 폭풍,
,,,,,,인내의 집정관,
,,,,,,중첩되는 독소,
,,,,,,소생하는 집정관,
,,,,,,대지 분쇄,
,,,,,,소생하는 집정관,
,,,,,,지속되는공포,
,,,,,,영혼 꽃,
,,,,,,늑대의 피,
,,,,,,악의 손아귀,
,,,,,,사건의 지평선,
,,,,,,기후 변화,
,,,,,,효율적인 장전,
,,,,,,재사용 가능 탄약,
,,,,,,심장 관통,
,,,,,,최대 절감,
,,,,,,지속되는 독소,
,,,,,,노쇠의 저주,
,,,,,,지속되는 속삭임,
,,,,,,예견된 최후,
,,,,,,격화되는 독소,
,,,,,,최후의 연발 사격,
,,,,,,끝없는 회로,
,,,,,,라비앙가의 약,
,,,,,,눈보라의 집정관,
,,,,,,폭풍의 집정관,
,,,,,,열정,
,,,,,,집결의 형체,
,,,,,,척탄병,
,,,,,,룬 투구,
,,,,,,완벽한 칼침,
,,,,,,통제의 마법,
,,,,,,치투스의 기사,
,,,,,,선조의 응원,
,,,,,,불사의 집정관,
,,,,,,기교 사격,
,,,,,,죽음의 징표,
,,,,,,탐욕,
,,,,,,차원의 약점,
,,,,,,낮은 역치,
,,,,,,전기 장군,
,,,,,,쉽게 쉽게,
,,,,,,어둠의 오른팔,
,,,,,,고통스러운 대재난,
,,,,,,다가오는 대재난,
,,,,,,폭풍과 하나,
,,,,,,집속 폭탄,
,,,,,,비전 접촉,
,,,,,,반복되는 폭발물,
,,,,,,재빠른 여우,
,,,,,,갑작스러운 분노,
,,,,,,참을성 있는 방어막,
,,,,,,끝없는 누보라,
,,,,,,빠른 신진대사,
,,,,,,깃화살,
,,,,,,부족의 광분,
,,,,,,공포의 군주,
,,,,,,섬뜩한 의지,
,,,,,,축적되는 독소,
,,,,,,가시 구덩이,
,,,,,,통제 구역,
,,,,,,어둠의 등장,
,,,,,,피뢰침,
,,,,,,신비한 사태,
,,,,,,지배,
,,,,,,카옴의 축복,
,,,,,,돌풍의 군주,
,,,,,,어둠의 엔트로피,
,,,,,,사막의 경멸,
,,,,,,강회된 육체,
,,,,,,회븍의 떼,
,,,,,,심해지는 위협,
,,,,,,빛의 보루,
,,,,,,자유분방,
,,,,,,확산되는 감전,
